TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,24.9375,245,199
-1,27.125,250,199
-1,29.3125,254,199
-1,31.5,258,199
-1,33.6875,263,199
-1,36.25,270,199
-1,38.6875,278,199
-1,40.875,278,199
-1,43.0625,266,199
-1,45.25,251,199
-1,47.4375,239,199
-1,49.6875,227,199
-1,51.875,224,199
-1,54.0625,215,199
-1,56.25,206,199
-1,58.5,200,199
-1,60.6875,195,199
-1,62.875,187,199
-1,65.4375,184,199
-1,68,179,199
-1,70.75,175,199
-1,73.125,171,191
-1,75.6875,170,191
-1,77.9375,168,191
-1,80.5,166,191
-1,83.25,164,191
-1,86,162,191
-1,88.75,161,191
-1,91.5,159,191
-1,94.25,159,191
-1,97,158,191
-1,99.75,159,191
-1,102.5,159,191
-1,104.875,160,191
-1,107.4375,162,191
-1,110,164,191
-1,112.5625,165,191
-1,115.3125,166,199
-1,117.875,167,191
-1,120.4375,170,191
-1,123.1875,174,191
-1,125.9375,179,199
-1,128.5,185,199
-1,130.75,189,199
-1,132.9375,196,199
-1,135.5,202,199
-1,138.0625,206,199
-1,140.4375,198,199
-1,142.625,191,199
-1,145.1875,185,199
-1,147.625,180,199
-1,150.1875,174,191
-1,152.75,168,199
-1,155.125,164,199
-1,157.6875,160,199
-1,160.25,157,199
-1,162.8125,153,191
-1,165.375,150,191
-1,168.125,148,191
-1,170.6875,146,191
-1,173.4375,144,191
-1,176.1875,142,191
-1,178.9375,141,191
-1,181.375,141,191
-1,183.9375,140,191
-1,186.5,141,191
-1,189.0625,141,191
-1,191.625,141,191
-1,194.375,143,191
-1,197.125,142,191
-1,199.875,145,191
-1,202.4375,147,191
-1,205.1875,150,191
-1,207.9375,153,191
-1,210.6875,156,191
-1,213.4375,160,191
-1,216,165,191
-1,218.75,168,191
-1,221.6875,175,199
-1,224.25,181,199
-1,226.625,186,199
-1,228.8125,193,199
-1,231.0625,199,199
-1,233.25,208,199
-1,235.4375,219,199
-1,237.625,227,199
-1,240.1875,224,199
-1,242.625,218,199
-1,245,211,199
-1,247.1875,206,199
-1,249.375,201,199
-1,251.5625,197,199
-1,253.8125,195,199
-1,256,192,199
-1,258.5625,190,199
-1,261.3125,189,199
-1,264.25,188,199
-1,266.8125,185,191
-1,269.375,185,199
-1,271.9375,185,191
-1,274.6875,183,191
-1,277.4375,183,191
-1,280.1875,184,191
-1,282.9375,184,199
-1,285.6875,186,199
-1,288.4375,187,199
-1,291,189,199
-1,293.5625,189,199
-1,296.125,192,199
-1,298.875,196,199
-1,301.125,200,199
-1,303.3125,203,199
-1,305.5,208,199
